DATE,INTDSRUSM193N,YOY Change
1950-01-01,1.5,
1950-02-01,1.5,
1950-03-01,1.5,
1950-04-01,1.5,
1950-05-01,1.5,
1950-06-01,1.5,
1950-07-01,1.5,
1950-08-01,1.59,
1950-09-01,1.75,
1950-10-01,1.75,
1950-11-01,1.75,
1950-12-01,1.75,
1951-01-01,1.75,16.6666666666667
1951-02-01,1.75,16.6666666666667
1951-03-01,1.75,16.6666666666667
1951-04-01,1.75,16.6666666666667
1951-05-01,1.75,16.6666666666667
1951-06-01,1.75,16.6666666666667
1951-07-01,1.75,16.6666666666667
1951-08-01,1.75,10.062893081761
1951-09-01,1.75,0
1951-10-01,1.75,0
1951-11-01,1.75,0
1951-12-01,1.75,0
1952-01-01,1.75,0
1952-02-01,1.75,0
1952-03-01,1.75,0
1952-04-01,1.75,0
1952-05-01,1.75,0
1952-06-01,1.75,0
1952-07-01,1.75,0
1952-08-01,1.75,0
1952-09-01,1.75,0
1952-10-01,1.75,0
1952-11-01,1.75,0
1952-12-01,1.75,0
1953-01-01,1.88,7.42857142857143
1953-02-01,2,14.2857142857143
1953-03-01,2,14.2857142857143
1953-04-01,2,14.2857142857143
1953-05-01,2,14.2857142857143
1953-06-01,2,14.2857142857143
1953-07-01,2,14.2857142857143
1953-08-01,2,14.2857142857143
1953-09-01,2,14.2857142857143
1953-10-01,2,14.2857142857143
1953-11-01,2,14.2857142857143
1953-12-01,2,14.2857142857143
1954-01-01,2,6.38297872340425
1954-02-01,1.79,-10.5
1954-03-01,1.75,-12.5
1954-04-01,1.63,-18.5
1954-05-01,1.5,-25
1954-06-01,1.5,-25
1954-07-01,1.5,-25
1954-08-01,1.5,-25
1954-09-01,1.5,-25
1954-10-01,1.5,-25
1954-11-01,1.5,-25
1954-12-01,1.5,-25
1955-01-01,1.5,-25
1955-02-01,1.5,-16.2011173184358
1955-03-01,1.5,-14.2857142857143
1955-04-01,1.63,0
1955-05-01,1.75,16.6666666666667
1955-06-01,1.75,16.6666666666667
1955-07-01,1.75,16.6666666666667
1955-08-01,1.97,31.3333333333333
1955-09-01,2.18,45.3333333333333
1955-10-01,2.25,50
1955-11-01,2.36,57.3333333333333
1955-12-01,2.5,66.6666666666667
1956-01-01,2.5,66.6666666666667
1956-02-01,2.5,66.6666666666667
1956-03-01,2.5,66.6666666666667
1956-04-01,2.65,62.5766871165644
1956-05-01,2.75,57.1428571428571
1956-06-01,2.75,57.1428571428571
1956-07-01,2.75,57.1428571428571
1956-08-01,2.81,42.6395939086294
1956-09-01,3,37.6146788990826
1956-10-01,3,33.3333333333333
1956-11-01,3,27.1186440677966
1956-12-01,3,20
1957-01-01,3,20
1957-02-01,3,20
1957-03-01,3,20
1957-04-01,3,13.2075471698113
